#{"t_start": 1648261826.6046648, "env_id": "HummingbirdHoverTaskEnvPPO-v2"}
r,l,t
137.82972,276,1771.702586
-100,1,1771.811079
454.201283,610,1784.128328
146.189739,285,1789.934276
453.64884,602,1802.086682
392.27085,494,1813.311481
-100,1,1813.434752
136.774945,276,1819.118363
434.305798,566,1830.554753
341.270395,478,1840.218939
340.288714,482,1850.004078
433.176921,573,1862.900702
243.861237,387,1870.783687
-100,1,1870.907287
238.378652,380,1878.669731
145.478692,284,1884.453316
236.499629,370,1891.97582
-100,1,1892.127447
232.847936,372,1901.053223
-100,1,1901.183136
78.299271,180,1904.973503
137.672486,274,1910.574127
249.833189,401,1918.750423
-100,1,1918.862482
124.203688,253,1924.063509
146.547228,290,1930.005524
407.314226,509,1941.510457
126.87042,254,1946.745265
337.679233,479,1956.461077
-100,1,1956.592229
250.615856,400,1964.753541
258.166588,414,1973.17025
246.38254,385,1981.02648
243.020314,382,1990.027442
238.283803,378,1997.733395
-100,1,1997.864074
446.173844,591,2009.822944
439.670401,567,2021.285739
250.521931,389,2030.4017
-100,1,2030.521942
100.621632,202,2034.715909
237.055164,374,2042.318373
248.543566,389,2050.203445
-100,1,2050.334527
339.909466,477,2059.98594
101.689118,203,2064.188297
-100,1,2064.299357
390.288209,492,2075.50581
133.171457,265,2080.9484
-100,1,2081.069637
139.351101,271,2086.60188
137.563812,270,2092.144749
140.765736,280,2097.898091
148.232695,283,2103.711252
139.4463,268,2109.224183
91.713865,193,2114.434713
-100,1,2114.556344
192.399938,294,2120.570628
149.320104,284,2126.402136
142.61727,278,2132.116223
-100,1,2132.236487
139.076199,275,2137.870224
444.671011,584,2149.696527
248.506958,388,2158.841021
-100,1,2158.961335
448.551376,589,2170.865624
246.49907,385,2178.710769
444.492597,576,2190.405141
-100,1,2190.537116
152.819875,298,2196.628635
-100,1,2196.75219
149.791573,292,2203.942423
103.738113,205,2208.185864
144.178285,280,2213.929783
138.482776,280,2219.671233
437.903456,572,2231.21669
236.218826,371,2238.781925
145.060194,285,2245.855314
236.74012,369,2253.369549
197.548675,299,2259.471874
-100,1,2259.593178
145.12231,286,2265.435213
330.964328,469,2274.952234
448.132017,593,2288.206328
467.093767,627,2300.894878
-100,1,2301.004838
236.916986,375,2308.628595
346.242256,485,2318.454806
337.975008,481,2329.390266
453.955598,589,2341.346296
245.915528,387,2349.221383
96.688407,198,2353.292966
-100,1,2353.443898
329.36192,460,2362.789313
-100,1,2362.917796
334.404339,466,2373.62329
-100,1,2373.74419
337.315929,477,2383.408291
429.805664,560,2394.785646
-100,1,2394.91423
254.659997,396,2402.969898
93.686161,195,2407.013076
352.202038,493,2418.277421
239.591602,375,2425.921511
-100,1,2426.044328
247.385366,389,2433.985639
-100,1,2434.106239
426.931905,544,2445.106009
345.034861,485,2454.988085
-100,1,2455.108023
135.232913,268,2461.801941
244.820643,382,2469.554291
-100,1,2469.663886
448.621738,583,2481.453275
447.563785,591,2493.418943
139.15009,277,2500.250304
348.543572,484,2510.046638
445.96892,579,2521.735069
195.547671,297,2527.844571
241.49135,382,2535.610889
-100,1,2535.732354
245.097265,387,2544.817478
440.597296,579,2556.542173
-100,1,2556.662555
337.356224,476,2566.317679
452.817982,585,2578.133034
440.843469,581,2591.090346
336.905647,474,2600.694245
333.262439,473,2610.301374
88.698958,190,2614.24257
386.376398,488,2624.146641
350.758497,488,2635.243863
341.590355,480,2645.028841
-100,1,2645.149742
431.062262,563,2656.525842
294.302444,396,2664.548498
-100,1,2664.678708
392.190653,494,2675.924814
-100,1,2676.077926
296.332674,398,2684.221634
203.485621,306,2690.49347
233.945244,373,2698.057293
147.731459,284,2703.84121
239.595391,380,2711.552522
238.428243,377,2720.467476
142.917057,282,2726.221043
347.80728,487,2736.07842
241.276804,369,2743.560129
345.69702,485,2753.417391
433.248003,571,2766.212314
-100,1,2766.363903
288.266247,390,2774.307386
350.067645,488,2784.203071
254.146097,414,2792.66938
139.123587,277,2798.308861
141.326025,277,2805.184906
346.805142,486,2815.027745
-100,1,2815.137699
351.759932,491,2825.084949
-100,1,2825.234556
